Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 2
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 1.000
overCurrentLimit: OFF
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-03-24 01:06:07.348788
endTime: 2018-03-24 06:54:58.846738
elapsedTime: 5:48:51.497950
DP832 Initial System Temp: 28.32C
DP832 Ending System Temp: 27.48C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.112,0.1098,+1.04845927E-01,+1.04825996E-01,+1.04868127E-01,+1.24740717E-05
0.113,0.1108,+1.05865784E-01,+1.05855045E-01,+1.05876651E-01,+7.46483203E-06
0.114,0.1118,+1.06943942E-01,+1.06932045E-01,+1.06966601E-01,+9.08265063E-06
0.115,0.1130,+1.07969434E-01,+1.07961019E-01,+1.07980498E-01,+5.71381815E-06
0.116,0.1139,+1.09015469E-01,+1.09001076E-01,+1.09025108E-01,+7.55731366E-06
0.117,0.1150,+1.10025411E-01,+1.10015347E-01,+1.10035348E-01,+6.56256345E-06
0.118,0.1160,+1.11050280E-01,+1.11039432E-01,+1.11061262E-01,+7.51966676E-06
0.119,0.1171,+1.12043866E-01,+1.12028738E-01,+1.12060905E-01,+9.63939039E-06
0.120,0.1180,+1.13089416E-01,+1.13068869E-01,+1.13105402E-01,+1.05020164E-05
0.121,0.1192,+1.14120696E-01,+1.14114001E-01,+1.14129301E-01,+5.16071915E-06
0.122,0.1202,+1.15181818E-01,+1.15164618E-01,+1.15194136E-01,+9.04002984E-06
0.123,0.1212,+1.16208989E-01,+1.16198406E-01,+1.16218520E-01,+5.59449075E-06
0.124,0.1223,+1.17227913E-01,+1.17200736E-01,+1.17251860E-01,+1.79688637E-05
0.125,0.1233,+1.18248797E-01,+1.18242621E-01,+1.18257660E-01,+4.29361464E-06
0.126,0.1242,+1.19291757E-01,+1.19282715E-01,+1.19300515E-01,+5.46774796E-06
0.127,0.1254,+1.20291862E-01,+1.20283253E-01,+1.20298516E-01,+4.28448429E-06
0.128,0.1263,+1.21319272E-01,+1.21310995E-01,+1.21327415E-01,+4.46720734E-06
0.129,0.1273,+1.22380868E-01,+1.22363404E-01,+1.22400684E-01,+1.06684053E-05
0.130,0.1283,+1.23395240E-01,+1.23370921E-01,+1.23411969E-01,+1.37567905E-05
0.131,0.1294,+1.24414504E-01,+1.24390341E-01,+1.24441503E-01,+1.59928741E-05
0.132,0.1304,+1.25458494E-01,+1.25447676E-01,+1.25467192E-01,+6.35220331E-06
0.133,0.1316,+1.26468805E-01,+1.26460603E-01,+1.26480605E-01,+6.35876200E-06
0.134,0.1325,+1.27535271E-01,+1.27523050E-01,+1.27554508E-01,+9.18025746E-06
0.135,0.1334,+1.28556039E-01,+1.28543217E-01,+1.28567025E-01,+7.36602401E-06
0.136,0.1346,+1.29569914E-01,+1.29543009E-01,+1.29589991E-01,+1.77713758E-05
0.137,0.1355,+1.30624450E-01,+1.30609971E-01,+1.30636503E-01,+8.52311373E-06
0.138,0.1365,+1.31626295E-01,+1.31613532E-01,+1.31645438E-01,+9.23800208E-06
0.139,0.1377,+1.32669568E-01,+1.32651238E-01,+1.32683069E-01,+1.00677790E-05
0.140,0.1386,+1.33698400E-01,+1.33681891E-01,+1.33725813E-01,+1.53655126E-05
0.141,0.1398,+1.34706144E-01,+1.34697356E-01,+1.34715529E-01,+6.07815704E-06
0.142,0.1406,+1.35710907E-01,+1.35693789E-01,+1.35727449E-01,+1.02159643E-05
0.143,0.1417,+1.36755904E-01,+1.36748213E-01,+1.36767618E-01,+5.34593663E-06
0.144,0.1427,+1.37775235E-01,+1.37767335E-01,+1.37786591E-01,+5.81067283E-06
0.145,0.1437,+1.38765635E-01,+1.38755372E-01,+1.38776270E-01,+6.64872014E-06
0.146,0.1447,+1.39821204E-01,+1.39814909E-01,+1.39827447E-01,+3.86242636E-06
0.147,0.1458,+1.40862727E-01,+1.40842016E-01,+1.40874781E-01,+1.04925685E-05
0.148,0.1469,+1.41876241E-01,+1.41857370E-01,+1.41904016E-01,+1.43361360E-05
0.149,0.1478,+1.42888224E-01,+1.42882761E-01,+1.42891306E-01,+2.80572793E-06
0.150,0.1489,+1.43915746E-01,+1.43905652E-01,+1.43925281E-01,+5.92729686E-06
0.151,0.1500,+1.44937436E-01,+1.44917572E-01,+1.44954441E-01,+1.22932357E-05
0.152,0.1509,+1.45986210E-01,+1.45978899E-01,+1.45996438E-01,+5.80015228E-06
0.153,0.1520,+1.47040219E-01,+1.47021568E-01,+1.47059893E-01,+1.48044563E-05
0.154,0.1530,+1.48081280E-01,+1.48070544E-01,+1.48097524E-01,+8.08917945E-06
0.155,0.1539,+1.49143432E-01,+1.49126050E-01,+1.49158179E-01,+1.11005281E-05
0.156,0.1549,+1.50139835E-01,+1.50117259E-01,+1.50157561E-01,+1.22922162E-05
0.157,0.1561,+1.51166678E-01,+1.51143620E-01,+1.51188550E-01,+1.65428279E-05
0.158,0.1571,+1.52160388E-01,+1.52144271E-01,+1.52177818E-01,+1.14294444E-05
0.159,0.1582,+1.53156239E-01,+1.53142980E-01,+1.53170259E-01,+8.42162022E-06
0.160,0.1591,+1.54193146E-01,+1.54177104E-01,+1.54202591E-01,+7.86900760E-06
0.161,0.1604,+1.55232960E-01,+1.55224773E-01,+1.55243245E-01,+6.32823567E-06
0.162,0.1613,+1.56321096E-01,+1.56296885E-01,+1.56333045E-01,+9.82260069E-06
0.163,0.1622,+1.57358265E-01,+1.57342763E-01,+1.57376722E-01,+1.05190013E-05
0.164,0.1633,+1.58368252E-01,+1.58352407E-01,+1.58382223E-01,+1.00870067E-05
0.165,0.1639,+1.58908592E-01,+1.58889508E-01,+1.58939214E-01,+1.52667457E-05
0.166,0.1653,+1.60411933E-01,+1.60393487E-01,+1.60429461E-01,+1.51499452E-05
0.167,0.1658,+1.60903403E-01,+1.60891443E-01,+1.60914131E-01,+7.65544618E-06
0.168,0.1669,+1.61920136E-01,+1.61914744E-01,+1.61929372E-01,+4.45876516E-06
0.169,0.1684,+1.63460791E-01,+1.63453988E-01,+1.63474102E-01,+6.02811571E-06
0.170,0.1688,+1.63983226E-01,+1.63968699E-01,+1.63997806E-01,+9.73423879E-06
0.171,0.1704,+1.65533392E-01,+1.65510405E-01,+1.65554215E-01,+1.62258024E-05
0.172,0.1710,+1.66041327E-01,+1.66038065E-01,+1.66050118E-01,+4.02935827E-06
0.173,0.1720,+1.67076364E-01,+1.67053903E-01,+1.67097265E-01,+1.41341133E-05
0.174,0.1730,+1.68074525E-01,+1.68054255E-01,+1.68092430E-01,+1.26021330E-05
0.175,0.1741,+1.69081116E-01,+1.69071399E-01,+1.69091923E-01,+6.88648730E-06
0.176,0.1750,+1.70123905E-01,+1.70096828E-01,+1.70141123E-01,+1.17436091E-05
0.177,0.1759,+1.70959883E-01,+1.70948062E-01,+1.70981721E-01,+1.02898188E-05
0.178,0.1768,+1.71827630E-01,+1.71812319E-01,+1.71836761E-01,+7.17878858E-06
0.179,0.1777,+1.72683043E-01,+1.72674076E-01,+1.72690085E-01,+5.60078132E-06
0.180,0.1785,+1.73560973E-01,+1.73545349E-01,+1.73575053E-01,+7.61764003E-06
0.181,0.1797,+1.74808762E-01,+1.74785983E-01,+1.74833488E-01,+1.80267091E-05
0.182,0.1810,+1.76048878E-01,+1.76026208E-01,+1.76076436E-01,+1.64430521E-05
0.183,0.1822,+1.77308992E-01,+1.77300017E-01,+1.77320952E-01,+6.69558158E-06
0.184,0.1835,+1.78551746E-01,+1.78530091E-01,+1.78567035E-01,+1.18301827E-05
0.185,0.1844,+1.79557102E-01,+1.79527495E-01,+1.79576268E-01,+1.47205347E-05
0.186,0.1855,+1.80581235E-01,+1.80547923E-01,+1.80594121E-01,+1.39397147E-05
0.187,0.1865,+1.81564261E-01,+1.81560029E-01,+1.81574098E-01,+4.48641275E-06
0.188,0.1876,+1.82616300E-01,+1.82606355E-01,+1.82627439E-01,+6.53709798E-06
0.189,0.1886,+1.83646487E-01,+1.83634396E-01,+1.83662010E-01,+8.92449254E-06
0.190,0.1896,+1.84678058E-01,+1.84654078E-01,+1.84695985E-01,+1.33702872E-05
0.191,0.1901,+1.85181006E-01,+1.85156959E-01,+1.85209389E-01,+1.67505608E-05
0.192,0.1913,+1.86212913E-01,+1.86202016E-01,+1.86220152E-01,+5.42530437E-06
0.193,0.1921,+1.87236946E-01,+1.87233677E-01,+1.87240804E-01,+2.16811735E-06
0.194,0.1933,+1.88261927E-01,+1.88235857E-01,+1.88288959E-01,+1.82156428E-05
0.195,0.1942,+1.89325392E-01,+1.89310619E-01,+1.89330956E-01,+5.87581502E-06
0.196,0.1953,+1.90375234E-01,+1.90364930E-01,+1.90385902E-01,+6.69319291E-06
0.197,0.1964,+1.91365282E-01,+1.91339496E-01,+1.91388493E-01,+1.99410640E-05
0.198,0.1975,+1.92377090E-01,+1.92366604E-01,+1.92382725E-01,+5.14168408E-06
0.199,0.1985,+1.93409116E-01,+1.93393600E-01,+1.93426215E-01,+9.12874311E-06
0.200,0.1994,+1.94436840E-01,+1.94417797E-01,+1.94454741E-01,+1.16816046E-05
0.201,0.2005,+1.95506821E-01,+1.95483304E-01,+1.95526144E-01,+1.50474577E-05
0.202,0.2015,+1.96539336E-01,+1.96521980E-01,+1.96568999E-01,+1.51267494E-05
0.203,0.2025,+1.97587991E-01,+1.97578232E-01,+1.97595361E-01,+4.63552917E-06
0.204,0.2036,+1.98645198E-01,+1.98629671E-01,+1.98668779E-01,+1.17801602E-05
0.205,0.2041,+1.99120420E-01,+1.99110684E-01,+1.99129940E-01,+5.27270659E-06
0.206,0.2051,+2.00183065E-01,+2.00172870E-01,+2.00190931E-01,+5.18198057E-06
0.207,0.2062,+2.01203657E-01,+2.01196246E-01,+2.01220092E-01,+7.64461475E-06
0.208,0.2072,+2.02245289E-01,+2.02226750E-01,+2.02255484E-01,+8.53152033E-06
0.209,0.2082,+2.03275285E-01,+2.03259493E-01,+2.03296362E-01,+1.19698085E-05
0.210,0.2092,+2.04301330E-01,+2.04294400E-01,+2.04309513E-01,+5.05132537E-06
0.211,0.2102,+2.05304521E-01,+2.05282698E-01,+2.05316395E-01,+1.14410658E-05
0.212,0.2113,+2.06347586E-01,+2.06337719E-01,+2.06356377E-01,+7.17052389E-06
0.213,0.2123,+2.07359155E-01,+2.07349340E-01,+2.07371283E-01,+6.51081531E-06
0.214,0.2133,+2.08394237E-01,+2.08386225E-01,+2.08403764E-01,+5.30077394E-06
0.215,0.2144,+2.09425420E-01,+2.09413893E-01,+2.09438970E-01,+7.54928310E-06
0.216,0.2154,+2.10449975E-01,+2.10443165E-01,+2.10458614E-01,+5.61845968E-06
0.217,0.2164,+2.11502948E-01,+2.11491767E-01,+2.11520464E-01,+9.50618466E-06
0.218,0.2173,+2.12501545E-01,+2.12480066E-01,+2.12519771E-01,+1.44684079E-05
0.219,0.2181,+2.13037467E-01,+2.13028847E-01,+2.13042915E-01,+4.51030360E-06
0.220,0.2190,+2.14064265E-01,+2.14044984E-01,+2.14083308E-01,+1.15355676E-05
0.221,0.2202,+2.15048962E-01,+2.15033133E-01,+2.15074629E-01,+1.37264573E-05
0.222,0.2210,+2.16079392E-01,+2.16069719E-01,+2.16088974E-01,+5.75339459E-06
0.223,0.2220,+2.17113869E-01,+2.17101081E-01,+2.17127651E-01,+7.54730208E-06
0.224,0.2231,+2.18135731E-01,+2.18121770E-01,+2.18150168E-01,+9.30047541E-06
0.225,0.2241,+2.19191322E-01,+2.19176978E-01,+2.19202241E-01,+8.22622379E-06
0.226,0.2250,+2.20244739E-01,+2.20234350E-01,+2.20255434E-01,+7.76703105E-06
0.227,0.2263,+2.21277410E-01,+2.21266234E-01,+2.21292953E-01,+9.36512493E-06
0.228,0.2273,+2.22312433E-01,+2.22302298E-01,+2.22327673E-01,+7.54800538E-06
0.229,0.2283,+2.23354337E-01,+2.23328324E-01,+2.23372171E-01,+1.39911306E-05
0.230,0.2294,+2.24394868E-01,+2.24384165E-01,+2.24411892E-01,+7.93992341E-06
