Test Setup Parameters
DMM Model: SDM3055
PSU Model: DP832
PSU Channel: 1
Load: open
voltMin: 0.000
voltMax: 32.000
voltStep: 0.001
currentLimit: 0.020
overCurrentLimit: 0.020
dmmMeasureMode: average
dmmMeasureCount: 10
cmdDelay: 0.01
measDelay: 1
startTime: 2018-04-15 16:36:36.184772
endTime: 2018-04-17 03:41:47.075619
elapsedTime: 1 day, 11:05:10.890847
DP832 Initial System Temp: 28.90C
DP832 Ending System Temp: 31.54C
Run Notes:
START DATA CAPTURE
SetVoltage,PsuMeasureVoltage,DmmAverageVoltage,DmmMinimumVoltage,DmmMaximumVoltage,DmmStandardDeviation
0.120,0.1238,+1.18050980E-01,+1.18044954E-01,+1.18058686E-01,+4.38653467E-06
0.121,0.1248,+1.19076499E-01,+1.19074263E-01,+1.19081577E-01,+2.25903613E-06
0.122,0.1258,+1.20109838E-01,+1.20098125E-01,+1.20118611E-01,+6.26710094E-06
0.123,0.1268,+1.21119863E-01,+1.21106462E-01,+1.21131912E-01,+8.42605709E-06
0.124,0.1278,+1.22156415E-01,+1.22147489E-01,+1.22168536E-01,+5.76045832E-06
0.125,0.1290,+1.23187994E-01,+1.23181277E-01,+1.23195979E-01,+4.57087541E-06
0.126,0.1299,+1.24232361E-01,+1.24214355E-01,+1.24243276E-01,+7.79402012E-06
0.127,0.1310,+1.25272436E-01,+1.25262472E-01,+1.25282624E-01,+7.66607495E-06
0.128,0.1320,+1.26319288E-01,+1.26304208E-01,+1.26331114E-01,+7.88908505E-06
0.129,0.1330,+1.27362827E-01,+1.27358670E-01,+1.27368745E-01,+3.34576802E-06
0.130,0.1336,+1.27859039E-01,+1.27844497E-01,+1.27868678E-01,+7.33155232E-06
0.131,0.1350,+1.29412598E-01,+1.29405049E-01,+1.29418483E-01,+4.36983062E-06
0.132,0.1357,+1.29928943E-01,+1.29916438E-01,+1.29942672E-01,+8.12585708E-06
0.133,0.1366,+1.30957891E-01,+1.30944143E-01,+1.30970004E-01,+7.96390417E-06
0.134,0.1376,+1.31985152E-01,+1.31973602E-01,+1.31997037E-01,+7.64047890E-06
0.135,0.1388,+1.33030851E-01,+1.33023137E-01,+1.33041049E-01,+6.34117947E-06
0.136,0.1398,+1.34076874E-01,+1.34051924E-01,+1.34088756E-01,+1.17378683E-05
0.137,0.1408,+1.35113849E-01,+1.35098773E-01,+1.35131425E-01,+1.07642146E-05
0.138,0.1419,+1.36146677E-01,+1.36142935E-01,+1.36152562E-01,+3.33905315E-06
0.139,0.1429,+1.37157105E-01,+1.37150451E-01,+1.37164109E-01,+3.76914887E-06
0.140,0.1438,+1.38180970E-01,+1.38168678E-01,+1.38190918E-01,+7.75184688E-06
0.141,0.1449,+1.39241215E-01,+1.39233550E-01,+1.39250455E-01,+4.30870086E-06
0.142,0.1459,+1.40264673E-01,+1.40252038E-01,+1.40276518E-01,+8.34496375E-06
0.143,0.1470,+1.41330173E-01,+1.41322881E-01,+1.41339487E-01,+4.62960667E-06
0.144,0.1481,+1.42365192E-01,+1.42347862E-01,+1.42381223E-01,+1.08073784E-05
0.145,0.1491,+1.43372410E-01,+1.43360715E-01,+1.43388292E-01,+7.66402566E-06
0.146,0.1502,+1.44436894E-01,+1.44417825E-01,+1.44446708E-01,+1.03664993E-05
0.147,0.1512,+1.45457445E-01,+1.45452844E-01,+1.45461539E-01,+2.65390724E-06
0.148,0.1517,+1.45960140E-01,+1.45951397E-01,+1.45974720E-01,+7.04819682E-06
0.149,0.1527,+1.46984307E-01,+1.46976975E-01,+1.46995185E-01,+5.77714940E-06
0.150,0.1537,+1.48037343E-01,+1.48029495E-01,+1.48047818E-01,+5.77150210E-06
0.151,0.1547,+1.49071601E-01,+1.49062462E-01,+1.49080486E-01,+6.10554709E-06
0.152,0.1557,+1.50067918E-01,+1.50054678E-01,+1.50081770E-01,+6.77529409E-06
0.153,0.1568,+1.51111558E-01,+1.51108393E-01,+1.51118431E-01,+2.60046477E-06
0.154,0.1579,+1.52117843E-01,+1.52107215E-01,+1.52131471E-01,+7.66470965E-06
0.155,0.1589,+1.53140696E-01,+1.53119284E-01,+1.53159250E-01,+1.31060418E-05
0.156,0.1598,+1.54134738E-01,+1.54126913E-01,+1.54144340E-01,+5.40112464E-06
0.157,0.1608,+1.55175877E-01,+1.55162230E-01,+1.55187941E-01,+8.65631022E-06
0.158,0.1619,+1.56214072E-01,+1.56201914E-01,+1.56223931E-01,+6.62675011E-06
0.159,0.1630,+1.57227633E-01,+1.57216035E-01,+1.57240926E-01,+9.66255784E-06
0.160,0.1640,+1.58241740E-01,+1.58235792E-01,+1.58246726E-01,+3.70675183E-06
0.161,0.1651,+1.59328503E-01,+1.59319920E-01,+1.59340780E-01,+6.42803051E-06
0.162,0.1661,+1.60334056E-01,+1.60327548E-01,+1.60345983E-01,+6.15922283E-06
0.163,0.1671,+1.61369202E-01,+1.61355701E-01,+1.61382308E-01,+8.71091072E-06
0.164,0.1683,+1.62380103E-01,+1.62374637E-01,+1.62384600E-01,+3.28668896E-06
0.165,0.1692,+1.63407678E-01,+1.63395550E-01,+1.63423090E-01,+8.89978947E-06
0.166,0.1702,+1.64440357E-01,+1.64429748E-01,+1.64453220E-01,+7.44509285E-06
0.167,0.1707,+1.64958404E-01,+1.64951549E-01,+1.64965431E-01,+4.94858160E-06
0.168,0.1718,+1.66007805E-01,+1.65999815E-01,+1.66018399E-01,+5.24423863E-06
0.169,0.1728,+1.67053041E-01,+1.67043492E-01,+1.67061889E-01,+5.87434429E-06
0.170,0.1738,+1.68079563E-01,+1.68071607E-01,+1.68088698E-01,+5.05283310E-06
0.171,0.1747,+1.69119542E-01,+1.69113082E-01,+1.69125882E-01,+3.37548716E-06
0.172,0.1758,+1.70129902E-01,+1.70124480E-01,+1.70142466E-01,+4.63333159E-06
0.173,0.1769,+1.71167850E-01,+1.71160730E-01,+1.71171253E-01,+2.89077847E-06
0.174,0.1780,+1.72227909E-01,+1.72220565E-01,+1.72232879E-01,+3.74508605E-06
0.175,0.1790,+1.73233817E-01,+1.73225581E-01,+1.73243493E-01,+5.54257099E-06
0.176,0.1801,+1.74261063E-01,+1.74249666E-01,+1.74275228E-01,+8.46555786E-06
0.177,0.1810,+1.75313061E-01,+1.75295507E-01,+1.75321144E-01,+9.78332834E-06
0.178,0.1821,+1.76361775E-01,+1.76351834E-01,+1.76373739E-01,+6.80728943E-06
0.179,0.1831,+1.77361056E-01,+1.77349051E-01,+1.77371217E-01,+6.78423437E-06
0.180,0.1841,+1.78391298E-01,+1.78381122E-01,+1.78401870E-01,+6.70172943E-06
0.181,0.1851,+1.79422011E-01,+1.79412895E-01,+1.79431964E-01,+6.46712327E-06
0.182,0.1862,+1.80444253E-01,+1.80438099E-01,+1.80453474E-01,+4.20775703E-06
0.183,0.1872,+1.81477693E-01,+1.81465692E-01,+1.81491329E-01,+7.73618489E-06
0.184,0.1879,+1.82004569E-01,+1.82000666E-01,+1.82014063E-01,+4.00286646E-06
0.185,0.1888,+1.83034345E-01,+1.83027625E-01,+1.83042850E-01,+4.94158108E-06
0.186,0.1899,+1.84084220E-01,+1.84070368E-01,+1.84092721E-01,+7.32362418E-06
